YEAR,CHN,JPN,KOR,MEX,EUN,ROW,USA,ARG,BRA,UKR,IND,RUS
2044,22170.74286,59244.2548,42467.71053,15005.65665,56131.75075,20457.17267,91679.16797,13982.33926,19490.01437,5696.845575,7432.542217,15034.60097
2045,22758.63916,59827.38558,42945.98423,15201.18494,57092.10833,20832.09658,93461.5426,14131.65415,19855.12391,5761.751173,7734.889547,15156.61376
2046,23362.12457,60416.25602,43429.64428,15399.26103,58068.89666,21213.89182,95278.56916,14282.56354,20227.0731,5827.396256,8049.536021,15279.61675
2047,23981.61245,61010.92261,43918.75133,15599.91811,59062.39685,21602.68432,97130.92133,14435.08447,20605.99008,5893.78925,8376.981955,15403.61796
2048,24617.52715,61611.4424,44413.36674,15803.18982,60072.89483,21998.60231,99019.28588,14589.23415,20992.00536,5960.938677,8717.748016,15528.62549
2049,25270.30424,62217.873,44913.55253,16009.11021,61100.68141,22401.7764,100944.3629,14745.02995,21385.25194,6028.853153,9072.37605,15654.64753
2050,25940.39087,62830.27259,45419.37143,16217.71381,62146.05238,22812.33957,102906.8663,14902.48948,21785.86526,6097.541397,9441.429948,15781.69229
2051,26368.84212,63448.69991,45930.8869,16429.03558,63209.30858,23230.42724,104907.5235,15061.63049,22193.98334,6167.012223,9731.082238,15909.76807
2052,26804.36999,64073.21432,46448.16309,16643.11094,64290.75603,23656.1773,106947.0763,15222.47093,22609.74675,6237.274547,10029.62073,16038.88326
2053,27247.09138,64703.8757,46971.26487,16859.97577,65390.70596,24089.7302,109026.281,15385.02896,23033.29873,6308.337388,10337.31804,16169.04627
2054,27697.12509,65340.74458,47500.25785,17079.66641,66509.47491,24531.22893,111145.9085,15549.32292,23464.78518,6380.209866,10654.45515,16300.26562
2055,28154.5919,65983.88204,48035.20838,17302.21968,67647.38488,24980.81913,113306.7445,15715.37134,23904.35473,6452.901205,10981.32167,16432.54987
2056,28619.61457,66633.34979,48576.18355,17527.6729,68804.76333,25438.64908,115509.5902,15883.19297,24352.15881,6526.420735,11318.21608,16565.90767
2057,29092.31792,67289.21014,49123.25121,17756.06384,69981.94336,25904.8698,117755.2625,16052.80673,24808.35167,6600.777891,11665.44603,16700.34773
2058,29572.8288,67951.52601,49676.47998,17987.43078,71179.26375,26379.63507,120044.5938,16224.23177,25273.09046,6675.982218,12023.32859,16835.87883
2059,30061.27615,68620.36094,50235.93924,18221.8125,72397.06909,26863.10148,122378.4331,16397.48743,25746.53528,6752.043366,12392.19058,16972.50984
2060,30557.79108,69295.77909,50801.69916,18459.24829,73635.70984,27355.42851,124757.6455,16572.59325,26228.84922,6828.971097,12772.36884,17110.24966
2061,31062.50683,69977.84526,51373.83071,18699.77794,74895.54249,27856.77854,127183.1132,16749.56899,26720.19842,6906.775286,13036.48684,17249.10731
